@@Main,,,,
ReportingNode,Year,Month,,
CH,2021,3,,
@@Actual,,,,
DataNode,AocType,ValueType,AccidentYear,Value
DT1.1,WO,PayablePR,,-4
DT1.1,WO,ReceivablePR,,2
DT1.1,CF,PayablePR,,5
DT1.1,CF,ReceivablePR,,-3
DT1.1,CF,PR,,-90
DT1.1,CF,ICO,,6
DT1.1,CF,NIC,,70
DT1.1,CF,ACA,,10
DT1.1,CF,AEA,,5
DT1.2,CF,NIC,2020,76
DT1.3,WO,PayablePR,,-4
DT1.3,WO,ReceivablePR,,2
DT1.3,CF,PayablePR,,5
DT1.3,CF,ReceivablePR,,-3
DT1.3,CF,PR,,-90
DT1.3,CF,ICO,,6
DT1.3,CF,NIC,,70
DT1.3,CF,ACA,,10
DT1.3,CF,AEA,,5
DT2.1,WO,PayablePR,,-4
DT2.1,WO,ReceivablePR,,2
DT2.1,CF,PayablePR,,5
DT2.1,CF,ReceivablePR,,-3
DT2.1,CF,PR,,-90
DT2.1,CF,ICO,,6
DT2.1,CF,NIC,,70
DT2.1,CF,ACA,,10
DT2.1,CF,AEA,,5
DT2.2,CF,NIC,2020,76
DTR1.1,CF,PayablePR,,-2
DTR1.1,CF,ReceivablePR,,1.5
DTR1.1,CF,PR,,45
DTR1.1,CF,NIC,,-35
DTR1.2,CF,NIC,2020,-35
DTR2.1,CF,PayablePR,,-2
DTR2.1,CF,ReceivablePR,,1.5
DTR2.1,CF,PR,,45
DTR2.1,CF,NIC,,-35
DTR2.2,CF,NIC,2020,-35
DT3.1,WO,PayablePR,,-4
DT3.1,WO,ReceivablePR,,2
DT3.1,CF,PayablePR,,5
DT3.1,CF,ReceivablePR,,-3
DT3.1,CF,PR,,-90
DT3.1,CF,ICO,,6
DT3.1,CF,NIC,,70
DT3.1,CF,ACA,,10
DT3.1,CF,AEA,,5
DT4.1,WO,PayablePR,,-4
DT4.1,WO,ReceivablePR,,2
DT4.1,CF,PayablePR,,5
DT4.1,CF,ReceivablePR,,-3
DT4.1,CF,PR,,-90
DT4.1,CF,ICO,,6
DT4.1,CF,NIC,,70
DT4.1,CF,ACA,,10
DT4.1,CF,AEA,,5
