@@Main,,,,,,,,,,,,,,,,,,,,,,,,,
ReportingNode,Year,Month,,,,,,,,,,,,,,,,,,,,,,,
CH,2021,3,,,,,,,,,,,,,,,,,,,,,,,
@@Cashflow,,,,,,,,,,,,,,,,,,,,,,,,,
DataNode,AmountType,AocType,Novelty,AccidentYear,Values0,Values1,Values2,Values3,Values4,Values5,Values6,Values7,Values8,Values9,Values10,Values11,Values12,Values13,Values14,Values15,Values16,Values17,Values18,Values19,Values20
DT1.1,PR,MC,I,,0,-110,0,0,-110,0,0,-110,0,0,-110,0,0,0,0,0,0,0,0,0,0
DT1.1,NIC,MC,I,,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0
DT1.1,CU,MC,I,,10,5,5,5,5,5,5,5,5,5,5,3,0,0,0,0,0,0,0,0,0
DT1.1,RA,MC,I,,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
DT1.1,PR,BOP,N,,0,-10,0,0,-10,0,0,-10,0,0,-10,0,0,0,0,0,0,0,0,0,0
DT1.1,ICO,BOP,N,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT1.1,NIC,BOP,N,,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0
DT1.1,RA,BOP,N,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT1.1,PR,EV,N,,0,-5,0,0,-5,0,0,-5,0,0,-5,0,0,0,0,0,0,0,0,0,0
DT1.1,ICO,EV,N,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT1.1,NIC,EV,N,,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
DT1.1,RA,EV,N,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
DT1.1,PR,CL,C,,0,-115,0,0,-115,0,0,-115,0,0,-115,0,0,0,0,0,0,0,0,0,0
DT1.1,ICO,CL,C,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT1.1,NIC,CL,C,,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0
DT1.1,CU,CL,C,,15,7,7,7,7,7,7,7,7,7,7,5,0,0,0,0,0,0,0,0,0
DT1.1,RA,CL,C,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0
DT1.2,NIC,MC,I,2020,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0
DT1.2,CU,MC,I,2020,10,5,5,5,5,5,5,5,5,5,5,3,0,0,0,0,0,0,0,0,0
DT1.2,RA,MC,I,2020,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
DT1.2,NIC,BOP,N,2020,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0
DT1.2,RA,BOP,N,2020,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT1.2,NIC,EV,N,2020,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
DT1.2,RA,EV,N,2020,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
DT1.2,NIC,CL,C,2020,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0
DT1.2,CU,CL,C,2020,15,7,7,7,7,7,7,7,7,7,7,5,0,0,0,0,0,0,0,0,0
DT1.2,RA,CL,C,2020,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0
DT1.3,PR,MC,I,,0,-110,0,0,-110,0,0,-110,0,0,-110,0,0,0,0,0,0,0,0,0,0
DT1.3,NIC,MC,I,,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0
DT1.3,CU,MC,I,,10,5,5,5,5,5,5,5,5,5,5,3,0,0,0,0,0,0,0,0,0
DT1.3,RA,MC,I,,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
DT1.3,PR,BOP,N,,0,-10,0,0,-10,0,0,-10,0,0,-10,0,0,0,0,0,0,0,0,0,0
DT1.3,ICO,BOP,N,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT1.3,NIC,BOP,N,,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0
DT1.3,RA,BOP,N,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT1.3,PR,EV,N,,0,-5,0,0,-5,0,0,-5,0,0,-5,0,0,0,0,0,0,0,0,0,0
DT1.3,ICO,EV,N,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT1.3,NIC,EV,N,,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
DT1.3,RA,EV,N,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
DT1.3,PR,CL,C,,0,-115,0,0,-115,0,0,-115,0,0,-115,0,0,0,0,0,0,0,0,0,0
DT1.3,ICO,CL,C,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT1.3,NIC,CL,C,,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0
DT1.3,CU,CL,C,,15,7,7,7,7,7,7,7,7,7,7,5,0,0,0,0,0,0,0,0,0
DT1.3,RA,CL,C,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0
DT2.1,PR,MC,I,,0,-110,0,0,-110,0,0,-110,0,0,-110,0,0,0,0,0,0,0,0,0,0
DT2.1,NIC,MC,I,,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0
DT2.1,CU,MC,I,,10,5,5,5,5,5,5,5,5,5,5,3,0,0,0,0,0,0,0,0,0
DT2.1,RA,MC,I,,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
DT2.1,PR,BOP,N,,0,-10,0,0,-10,0,0,-10,0,0,-10,0,0,0,0,0,0,0,0,0,0
DT2.1,ICO,BOP,N,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT2.1,NIC,BOP,N,,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0
DT2.1,RA,BOP,N,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT2.1,PR,EV,N,,0,-5,0,0,-5,0,0,-5,0,0,-5,0,0,0,0,0,0,0,0,0,0
DT2.1,ICO,EV,N,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT2.1,NIC,EV,N,,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
DT2.1,RA,EV,N,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
DT2.1,PR,CL,C,,0,-115,0,0,-115,0,0,-115,0,0,-115,0,0,0,0,0,0,0,0,0,0
DT2.1,ICO,CL,C,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT2.1,NIC,CL,C,,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0
DT2.1,CU,CL,C,,15,7,7,7,7,7,7,7,7,7,7,5,0,0,0,0,0,0,0,0,0
DT2.1,RA,CL,C,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0
DT2.2,NIC,MC,I,2020,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0
DT2.2,CU,MC,I,2020,10,5,5,5,5,5,5,5,5,5,5,3,0,0,0,0,0,0,0,0,0
DT2.2,RA,MC,I,2020,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
DT2.2,NIC,BOP,N,2020,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0
DT2.2,RA,BOP,N,2020,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DT2.2,NIC,EV,N,2020,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
DT2.2,RA,EV,N,2020,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
DT2.2,NIC,CL,C,2020,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0
DT2.2,CU,CL,C,2020,15,7,7,7,7,7,7,7,7,7,7,5,0,0,0,0,0,0,0,0,0
