@@Main
Month,ReportingNode,Scenario,Year
12,CH,,2020
@@SimpleValue
AccidentYear,AmountType,AocType,DataNode,EconomicBasis,EstimateType,Novelty,Value
,PR,BOP,DT5.1,L,BE,N,-798.536731161375
,NIC,BOP,DT5.1,L,BE,N,598.7529445986629
,PR,BOP,DT5.1,C,BE,N,-798.536731161375
,NIC,BOP,DT5.1,C,BE,N,598.7529445986629
,,BOP,DT5.1,C,RA,N,59.8752944598663
,,BOP,DT5.1,L,RA,N,59.8752944598663
,,AM,DT5.1,L,F,C,0.6562298579039588
,PR,EOP,DT5.1,L,BE,C,-399.63392949885525
,NIC,EOP,DT5.1,L,BE,C,299.67554969423594
,PR,EOP,DT5.1,C,BE,C,-399.63392949885525
,NIC,EOP,DT5.1,C,BE,C,299.67554969423594
,,EOP,DT5.1,C,RA,C,29.967554969423595
,,EOP,DT5.1,L,RA,C,29.967554969423595
,PR,IA,DT5.1,L,BE,N,-1.0971983374806105
,NIC,IA,DT5.1,L,BE,N,0.9226050955731167
,PR,IA,DT5.1,C,BE,N,-1.0971983374806105
,NIC,IA,DT5.1,C,BE,N,0.9226050955731167
,,IA,DT5.1,C,RA,N,0.09226050955731169
,,IA,DT5.1,L,RA,N,0.09226050955731169
,PR,CF,DT5.1,L,BE,N,400
,NIC,CF,DT5.1,L,BE,N,-300
,PR,CF,DT5.1,C,BE,N,400
,NIC,CF,DT5.1,C,BE,N,-300
,,CF,DT5.1,C,RA,N,-30
,,CF,DT5.1,L,RA,N,-30
,PR,CF,DT5.1,L,BEPA,N,320
,PR,CF,DT5.1,,A,C,400
,NIC,CF,DT5.1,,A,C,-280
,ACA,CF,DT5.1,,A,C,-10
,AEA,CF,DT5.1,,A,C,-5
,PR,CF,DT5.1,,APA,C,320
,,CF,DT5.1,,DA,C,-15
,,EA,DT5.1,,C,C,-15
,,AM,DT5.1,,DA,C,9.843447868559382
,,AM,DT5.1,,C,C,-82.02271122089925
,,EOP,DT5.1,,DA,C,-5.156552131440618
,,EOP,DT5.1,,C,C,42.9681136142967
,,BOP,DT5.1,,C,N,139.90849210284577
,,IA,DT5.1,,C,N,0.08233273235018213
