@@Main,,,,
ReportingNode,Year,Month,,
CH,2021,3,,
@@Actual,,,,
DataNode,AocType,ValueType,AccidentYear,Value
DT1.1,CF,PR,,90
DT1.1,CF,ICO,,-6
DT1.1,CF,NIC,,-70
DT1.1,CF,ACA,,-10
DT1.1,CF,AEA,,-5
DT1.2,CF,NIC,2020,-76
DT1.3,CF,PR,,90
DT1.3,CF,ICO,,-6
DT1.3,CF,NIC,,-70
DT1.3,CF,ACA,,-10
DT1.3,CF,AEA,,-5
DT2.1,CF,PR,,90
DT2.1,CF,ICO,,-6
DT2.1,CF,NIC,,-70
DT2.1,CF,ACA,,-10
DT2.1,CF,AEA,,-5
DT2.2,CF,NIC,2020,-76
DTR1.1,CF,PR,,-45
DTR1.1,CF,NIC,,35
DTR1.2,CF,NIC,2020,35
DTR2.1,CF,PR,,-45
DTR2.1,CF,NIC,,35
DTR2.2,CF,NIC,2020,35
DT3.1,CF,PR,,90
DT3.1,CF,ICO,,-6
DT3.1,CF,NIC,,-70
DT3.1,CF,ACA,,-10
DT3.1,CF,AEA,,-5
DT4.1,CF,PR,,90
DT4.1,CF,ICO,,-6
DT4.1,CF,NIC,,-70
DT4.1,CF,ACA,,-10
DT4.1,CF,AEA,,-5
DT1.4,WO,ReceivablePR,,7
DT1.4,WO,ReceivableNIC,,5
DT1.4,CF,PayablePR,,5
DT1.4,CF,ReceivablePR,,3
DT1.4,CF,PayableNIC,,-8
DT1.4,CF,PR,,90
DT1.4,CF,ICO,,-6
DT1.4,CF,NIC,,-70
DT1.4,CF,ACA,,-10
DT1.4,CF,AEA,,-5
DT1.5,WO,ReceivablePR,,10
DT1.5,CF,PR,,90
DT1.5,CF,ICO,,-6
DT1.5,CF,NIC,,-70
DT1.5,CF,ACA,,-10
DT1.5,CF,AEA,,-5
DTR1.3,CF,PR,,-45
DTR1.3,CF,NIC,,35
DTR1.3,WO,RiReceivablePR,,3.5
DTR1.3,WO,RiReceivableNIC,,2.5
DTR1.3,CF,RiPayablePR,,2.5
DTR1.3,CF,RiReceivablePR,,1.5
DTR1.3,CF,RiPayableNIC,,-4
DTR1.4,CF,PR,,-45
DTR1.4,CF,NIC,,35
DTR1.4,WO,RiReceivableNIC,,10
