@@Main,,,,,,,
ReportingNode,Year,Month,Scenario ,,,,
CH,2020,12,,,,,
@@Actual,,,,,,,
DataNode,AocType,AmountType,EstimateType,AccidentYear,Value,,
DT1.1,CF,PR,A,,400,,
DT1.1,CF,NIC,A,,-280,,
DT1.1,CF,ACA,A,,-10,,
DT1.1,CF,AEA,A,,-5,,
DT1.2,CF,NIC,A,2020,-280,,
DT2.1,CF,PR,A,,400,,
DT2.1,CF,NIC,A,,-280,,
DT2.1,CF,ACA,A,,-10,,
DT2.1,CF,AEA,A,,-5,,
DT1.3,CF,PR,A,,400,,
DT1.3,CF,NIC,A,,-280,,
DT1.3,CF,ACA,A,,-10,,
DT1.3,CF,AEA,A,,-5,,
DT1.4,CF,PR,A,,400,,
DT1.4,CF,NIC,A,,-280,,
DT1.4,CF,ACA,A,,-10,,
DT1.4,CF,AEA,A,,-5,,
DT1.4,CF,PR,AA,,15,,
DT1.4,CF,PR,OA,,-10,,
DT1.4,CF,NIC,AA,,-5,,
DT1.4,CF,NIC,OA,,8,,
DT2.2,CF,NIC,A,2020,-280,,
DTR1.1,CF,PR,A,,-200,,
DTR1.1,CF,NIC,A,,140,,
DTR1.2,CF,NIC,A,2020,140,,
DTR2.1,CF,PR,A,,-200,,
DTR2.1,CF,NIC,A,,140,,
DTR2.2,CF,NIC,A,2020,140,,
DT3.1,CF,PR,A,,400,,
DT3.1,CF,NIC,A,,-280,,
DT3.1,CF,ACA,A,,-10,,
DT3.1,CF,AEA,A,,-5,,
DT4.1,CF,PR,A,,400,,
DT4.1,CF,NIC,A,,-280,,
DT4.1,CF,ACA,A,,-10,,
DT4.1,CF,AEA,A,,-5,,
DT1.5,CF,PR,A,,400,,
DT1.5,CF,NIC,A,,-280,,
DT1.5,CF,ACA,A,,-10,,
DT1.5,CF,AEA,A,,-5,,
DT1.5,CF,PR,OA,,-10,,OA
DTR1.3,CF,PR,A,,-200,,
DTR1.3,CF,NIC,A,,140,,
DTR1.3,CF,PR,OA,,7.5,,AA
DTR1.3,CF,PR,AA,,-5,,
DTR1.3,CF,NIC,OA,,-2.5,,
DTR1.3,CF,NIC,AA,,4,,
DTR1.4,CF,PR,A,,-200,,
DTR1.4,CF,NIC,A,,140,,
DTR1.4,CF,NIC,OA,,-10,,
