@@Main,,,,,
ReportingNode,Year,Month,,,
CH,2021,3,,,
@@Actual,,,,,
DataNode,AocType,AmountType,EstimateType,AccidentYear,Value
DT1.1,CF,PR,A,,90
DT1.1,CF,ICO,A,,-6
DT1.1,CF,NIC,A,,-70
DT1.1,CF,DAE,A,,-35
DT1.2,CF,NIC,A,2020,-76
DT1.3,CF,PR,A,,90
DT1.3,CF,ICO,A,,-6
DT1.3,CF,NIC,A,,-70
DT1.3,CF,DAE,A,,-35
DT2.1,CF,PR,A,,90
DT2.1,CF,ICO,A,,-6
DT2.1,CF,NIC,A,,-70
DT2.1,CF,DAE,A,,-35
DT2.2,CF,NIC,A,2020,-76
DTR1.1,CF,PR,A,,-45
DTR1.1,CF,NIC,A,,35
DTR1.2,CF,NIC,A,2020,35
DTR2.1,CF,PR,A,,-45
DTR2.1,CF,NIC,A,,35
DTR2.2,CF,NIC,A,2020,35
DT3.1,CF,PR,A,,90
DT3.1,CF,ICO,A,,-6
DT3.1,CF,NIC,A,,-70
DT3.1,CF,DAE,A,,-35
DT4.1,CF,PR,A,,90
DT4.1,CF,ICO,A,,-6
DT4.1,CF,NIC,A,,-70
DT4.1,CF,DAE,A,,-35
DT1.4,WO,PR,OA,,7
DT1.4,WO,NIC,AA,,5
DT1.4,CF,PR,AA,,5
DT1.4,CF,PR,OA,,3
DT1.4,CF,NIC,OA,,-8
DT1.4,CF,PR,A,,90
DT1.4,CF,ICO,A,,-6
DT1.4,CF,NIC,A,,-70
DT1.4,CF,DAE,A,,-35
DT1.5,WO,PR,OA,,10
DT1.5,CF,PR,A,,90
DT1.5,CF,ICO,A,,-6
DT1.5,CF,NIC,A,,-70
DT1.5,CF,DAE,A,,-35
DTR1.3,CF,PR,A,,-45
DTR1.3,CF,NIC,A,,35
DTR1.3,WO,PR,AA,,3.5
DTR1.3,WO,NIC,OA,,2.5
DTR1.3,CF,PR,OA,,2.5
DTR1.3,CF,PR,AA,,1.5
DTR1.3,CF,NIC,AA,,-4
DTR1.4,CF,PR,A,,-45
DTR1.4,CF,NIC,A,,35
DTR1.4,WO,NIC,OA,,10
