@@Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportingNode,Year,Month,Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,2020,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Cashflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataNode,AmountType,EstimateType,AocType,Novelty,AccidentYear,Values0,Values1,Values2,Values3,Values4,Values5,Values6,Values7,Values8,Values9,Values10,Values11,Values12,Values13,Values14,Values15,Values16,Values17,Values18,Values19,Values20,Values21,Values22,Values23,Values24,Values25,Values26,Values27,Values28,Values29,Values30,Values31,Values32,Values33,Values34,Values35
DT1.1,NIC,BE,BOP,N,2020,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,,,,,,,,,,,,
DT1.1,NIC,BE,CL,C,2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT1.1,NIC,BE,BOP,N,2021,0,0,0,0,0,0,0,0,0,0,0,0,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
DT1.1,NIC,BE,CL,C,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
DT1.1,PR,BE,BOP,N,,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
DT1.1,PR,BE,CL,C,,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-666.6666667,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
DT1.1,,RA,BOP,N,,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,,,,,,,,,,,,
DT1.1,,RA,CL,C,,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,,,,,,,,,,,,
DT1.1,CU,P,CL,C,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,,,,,,,,,,,,
DT1.2,NIC,BE,BOP,N,2020,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-466.6666667,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,,,,,,,,,,,,
DT1.2,,RA,BOP,N,2020,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,,,,,,,,,,,,
DT1.2,NIC,BE,CL,C,2020,0,0,0,0,0,0,0,0,0,0,0,0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,,,,,,,,,,,,
DT1.2,CU,P,CL,C,2020,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,,,,,,,,,,,,
DT1.2,,RA,CL,C,2020,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,,,,,,,,,,,,
DT1.2,NIC,BE,BOP,N,2021,0,0,0,0,0,0,0,0,0,0,0,0,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,,,,,,,,,,,,
DT1.2,NIC,BE,CL,C,2021,0,0,0,0,0,0,0,0,0,0,0,0,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,-83.33333333,,,,,,,,,,,,
