@@Main,,,,,,,
Month,ReportingNode,Scenario,Year,,,,
12,CH,,2020,,,,
@@SimpleValue,,,,,,,
AccidentYear,AmountType,AocType,DataNode,EconomicBasis,EstimateType,Novelty,Value
,PR,BOP,DT5.1,L,BE,N,-798.5367312
,NIC,BOP,DT5.1,L,BE,N,598.7529446
,PR,BOP,DT5.1,C,BE,N,-798.5367312
,NIC,BOP,DT5.1,C,BE,N,598.7529446
,,BOP,DT5.1,C,RA,N,59.87529446
,,BOP,DT5.1,L,RA,N,59.87529446
,,AM,DT5.1,L,F,C,0.656229858
,PR,EOP,DT5.1,L,BE,C,-399.6339295
,NIC,EOP,DT5.1,L,BE,C,299.6755497
,PR,EOP,DT5.1,C,BE,C,-399.6339295
,NIC,EOP,DT5.1,C,BE,C,299.6755497
,,EOP,DT5.1,C,RA,C,29.96755497
,,EOP,DT5.1,L,RA,C,29.96755497
,PR,IA,DT5.1,L,BE,N,-1.097198337
,NIC,IA,DT5.1,L,BE,N,0.922605096
,PR,IA,DT5.1,C,BE,N,-1.097198337
,NIC,IA,DT5.1,C,BE,N,0.922605096
,,IA,DT5.1,C,RA,N,0.09226051
,,IA,DT5.1,L,RA,N,0.09226051
,PR,CF,DT5.1,L,BE,N,400
,NIC,CF,DT5.1,L,BE,N,-300
,PR,CF,DT5.1,C,BE,N,400
,NIC,CF,DT5.1,C,BE,N,-300
,,CF,DT5.1,C,RA,N,-30
,,CF,DT5.1,L,RA,N,-30
,PR,CF,DT5.1,L,BEPA,N,320
,PR,CF,DT5.1,,A,C,400
,NIC,CF,DT5.1,,A,C,-280
,ACA,CF,DT5.1,,A,C,-10
,AEA,CF,DT5.1,,A,C,-5
,PR,CF,DT5.1,,APA,C,320
,,BOP,DT5.1,,DA,N,-15
,,EA,DT5.1,,C,C,-15
,,AM,DT5.1,,DA,C,9.85821304
,,AM,DT5.1,,C,C,-82.02271122
,,EOP,DT5.1,,DA,C,-5.16428696
,,EOP,DT5.1,,C,C,42.96811361
,,BOP,DT5.1,,C,N,139.9084921
,,IA,DT5.1,,C,N,0.082332732
,,IA,DT5.1,,DA,N,-0.0225
