@@Main,,,,LR,0.7,Gross,MC change,1.1,sign,Reins,QuotaShare,0.3,sign,,,,,,,,,,,,,,,,
ReportingNode,Year,Month,Scenario,,,,EV change,0.5,,,,,-1,,,,,,,,,,,,,,,,
CH,2020,12,LR70,,,,LossRatio(LR),0.2,-1,,LossRatio(LR),0.2,,,,,,,,,,,,,,,,,
@@Cashflow,,,,,,,Exp %,0.1,-1,,Comm %,0.35,,,,,,,,,,,,,,,,,
DataNode,AmountType,EstimateType,AocType,Novelty,AccidentYear,Values0,Values1,Values2,Values3,Values4,Values5,Values6,Values7,Values8,Values9,Values10,Values11,Values12,Values13,Values14,Values15,Values16,Values17,Values18,Values19,Values20,Values21,Values22,Values23
RP1.1,,CU,BOP,I,,-10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
RP1.1,,CU,MC,I,,-10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
RP1.1,,CU,CL,C,,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
RPR1.1,,CU,BOP,I,,-5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-1.5,-5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-1.5
RPR1.1,,CU,MC,I,,-5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5
RPR1.1,,CU,CL,C,,-7.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
RP1.1,PR,BE,BOP,I,,0,0,125,0,0,125,0,0,125,0,0,125,0,0,125,0,0,125,0,0,125,0,0,125
RP1.1,PR,BE,MC,I,,0,0,137.5,0,0,137.5,0,0,137.5,0,0,137.5,0,0,137.5,0,0,137.5,0,0,137.5,0,0,137.5
RP1.1,PR,BE,BOP,N,,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10
RP1.1,PR,BE,EV,N,,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5
RP1.1,PR,BE,CL,C,,0,0,142.5,0,0,142.5,0,0,142.5,0,0,142.5,0,0,142.5,0,0,142.5,0,0,142.5,0,0,142.5
RP1.1,NIC,BE,BOP,I,,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667,-29.16666667
RP1.1,NIC,BE,MC,I,,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333,-32.08333333
RP1.1,NIC,BE,BOP,N,,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333,-2.333333333
RP1.1,NIC,BE,EV,N,,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667,-1.166666667
RP1.1,NIC,BE,CL,C,,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25,-33.25
RP1.1,AEM,BE,BOP,I,,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5
RP1.1,AEM,BE,MC,I,,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75,-13.75
RP1.1,AEM,BE,BOP,N,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
RP1.1,AEM,BE,EV,N,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
RP1.1,AEM,BE,CL,C,,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25,-14.25
RPR1.1,PR,BE,BOP,I,,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5
RPR1.1,PR,BE,MC,I,,0,0,-41.25,0,0,-41.25,0,0,-41.25,0,0,-41.25,0,0,-41.25,0,0,-41.25,0,0,-41.25,0,0,-41.25
RPR1.1,PR,BE,BOP,N,,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3,0,0,-3
RPR1.1,PR,BE,EV,N,,0,0,-1.5,0,0,-1.5,0,0,-1.5,0,0,-1.5,0,0,-1.5,0,0,-1.5,0,0,-1.5,0,0,-1.5
RPR1.1,PR,BE,CL,C,,0,0,-42.75,0,0,-42.75,0,0,-42.75,0,0,-42.75,0,0,-42.75,0,0,-42.75,0,0,-42.75,0,0,-42.75
RPR1.1,NIC,BE,BOP,I,,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
RPR1.1,NIC,BE,MC,I,,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625
RPR1.1,NIC,BE,BOP,N,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
RPR1.1,NIC,BE,EV,N,,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
RPR1.1,NIC,BE,CL,C,,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975
RPR1.1,AC,BE,BOP,I,,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667
