@@Scenario,,,,,,,,,,,
SystemName,DisplayName,,,,,,,,,,
LR70,Loss Ratio 70,
LR80,Loss Ratio 80,
YCUP1.0pct,Yield Curve Up 1.0pct,,,,,,,,,,
YCDW1.0pct,Yield Curve Down 1.0pct,,,,,,,,,,
SRUP1.0pct,Spread Rate Up 1.0pct,,,,,,,,,,
SRDW1.0pct,Spread Rate Down 1.0pct,,,,,,,,,,
EUP1.0pct,Equity Up 1.0pct,,,,,,,,,,
EDW1.0pct,Equity Down 1.0pct,,,,,,,,,,
FXUP1.0pct,Exchange Rate Up 1.0pct,,,,,,,,,,
FXDW1.0pct,Exchange Rate Down 1.0pct,,,,,,,,,,
MTUP10pct,Mortality Up 10pct,,,,,,,,,,
MTDW10pct,Mortality Down 10pct,,,,,,,,,,
LUP10pct,Longevity Up 10pct,,,,,,,,,,
LDW10pct,Longevity Down 10pct,,,,,,,,,,
DUP10pct,Disability Up 10pct,,,,,,,,,,
DDW10pct,Disability Down 10pct,,,,,,,,,,
LICUP10pct,Lic Up 10pct,,,,,,,,,,
LICDW10pct,Lic Down 10pct,,,,,,,,,,
