@@Main,,,,,
ReportingNode,Year,Month,Scenario,,
T1,2023,12,,,
@@Actual,,,,,
DataNode,AocType,AmountType,EstimateType,AccidentYear,Value
G.BBA.LRC.2023.P,CF,PR,A,,1000
G.BBA.LRC.2023.P,CF,DAE,A,,-200
G.BBA.LRC.2023.P,CF,NIC,A,,-500
G.BBA.LRC.2023.P,CF,AEM,A,,-150
G.PAA.LRC.2023.P,CF,PR,A,,1000
G.PAA.LRC.2023.P,CF,DAE,A,,-200
G.PAA.LRC.2023.P,CF,NIC,A,,-500
G.PAA.LRC.2023.P,CF,AEM,A,,-150
R.BBA.LRC.2023,CF,PR,A,,-250
R.BBA.LRC.2023,CF,DAE,A,,-75
R.BBA.LRC.2023,CF,NIC,A,,125
R.PAA.LRC.2023,CF,PR,A,,-250
R.PAA.LRC.2023,CF,DAE,A,,-75
R.PAA.LRC.2023,CF,NIC,A,,125
