@@Main,,,,
ReportingNode,Year,Month,Scenario,
T1,2023,12,,
,,,,
@@SingleDataNodeParameter,,,,
DataNode,PremiumAllocation,CashFlowPeriodicity,InterpolationMethod,EconomicBasisDriver
G.BBA.LIC.2023.O,0,Monthly,Uniform,
G.BBA.LIC.2023.P,0,Monthly,Uniform,
G.BBA.LRC.2023.O,1,Monthly,Uniform,
G.BBA.LRC.2023.P,1,Monthly,Uniform,
G.PAA.LIC.2023.O,0,Monthly,Uniform,
G.PAA.LIC.2023.P,0,Monthly,Uniform,
G.PAA.LRC.2023.O,1,Monthly,Uniform,L
G.PAA.LRC.2023.P,1,Monthly,Uniform,L
R.BBA.LIC.2023,0,Monthly,Uniform,
R.BBA.LRC.2023,0,Monthly,Uniform,
R.PAA.LIC.2023,0,Monthly,Uniform,
R.PAA.LRC.2023,0,Monthly,Uniform,L
,,,,
@@InterDataNodeParameter,,,,
DataNode,LinkedDataNode,ReinsuranceCoverage,,
R.BBA.LRC.2023,G.BBA.LRC.2023.O,0.25,,
R.BBA.LRC.2023,G.BBA.LRC.2023.P,0.25,,
R.PAA.LRC.2023,G.PAA.LRC.2023.O,0.25,,
R.PAA.LRC.2023,G.PAA.LRC.2023.P,0.25,,
