@@Main,,,,,,,
Month,ReportingNode,Scenario,Year,,,,
12,CH,,2020,,,,
@@SimpleValue,,,,,,,
AccidentYear,AmountType,AocType,DataNode,EconomicBasis,EstimateType,Novelty,Value
,ACA,CF,MZ1.2,,A,C,-10
,AEA,CF,MZ1.2,,A,C,-5
,NIC,CF,MZ1.2,,A,C,-280
,PR,CF,MZ1.2,,A,C,400
,PR,CF,MZ1.2,,APA,C,320
,NIC,EOP,MZ1.2,C,BE,C,218.36476
,NIC,BOP,MZ1.2,C,BE,N,336.39976
,NIC,CF,MZ1.2,C,BE,N,-300
,NIC,IA,MZ1.2,C,BE,N,181.965
,PR,EOP,MZ1.2,C,BE,C,-306.20002
,PR,BOP,MZ1.2,C,BE,N,-487.82037
,PR,CF,MZ1.2,C,BE,N,400
,PR,IA,MZ1.2,C,BE,N,-218.37965
,NIC,EOP,MZ1.2,L,BE,C,218.36476
,NIC,BOP,MZ1.2,L,BE,N,336.39976
,NIC,CF,MZ1.2,L,BE,N,-300
,NIC,IA,MZ1.2,L,BE,N,181.965
,PR,EOP,MZ1.2,L,BE,C,-306.20002
,PR,BOP,MZ1.2,L,BE,N,-487.82037
,PR,CF,MZ1.2,L,BE,N,400
,PR,IA,MZ1.2,L,BE,N,-218.37965
,NIC,EOP,MZ1.2,N,BE,C,300
,NIC,BOP,MZ1.2,N,BE,N,600
,NIC,CF,MZ1.2,N,BE,N,-300
,PR,EOP,MZ1.2,N,BE,C,-400
,PR,BOP,MZ1.2,N,BE,N,-800
,PR,CF,MZ1.2,N,BE,N,400
,PR,CF,MZ1.2,N,BEPA,N,320
,,AM,MZ1.2,L,C,C,-172.4902156
,,EOP,MZ1.2,L,C,C,45.40394992
,,BOP,MZ1.2,L,C,N,117.78063
,,IA,MZ1.2,L,C,N,100.1135355
,CU,AM,MZ1.2,L,F,C,0.79162
,,EOP,MZ1.2,C,RA,C,21.83648
,,BOP,MZ1.2,C,RA,N,33.63998
,,CF,MZ1.2,C,RA,N,-30
,,IA,MZ1.2,C,RA,N,18.1965
,,EOP,MZ1.2,L,RA,C,21.83648
,,BOP,MZ1.2,L,RA,N,33.63998
,,CF,MZ1.2,L,RA,N,-30
,,IA,MZ1.2,L,RA,N,18.1965
,,EOP,MZ1.2,N,RA,C,30
,,BOP,MZ1.2,N,RA,N,60
,,CF,MZ1.2,N,RA,N,-30
